c ----------------------------------------------------
c A graph of my old house with some changes for more interesting graph
c ----------------------------------------------------
p sp 21 45
a 0 9 3
a 0 7 1
a 0 5 1
a 0 19 3
a 0 20 1
a 1 2 1
a 1 14 5
a 2 1 1
a 2 8 2
a 2 9 1
a 2 10 4
a 2 11 5
a 3 8 1
a 3 12 15
a 4 20 1
a 5 0 1
a 6 7 1
a 6 18 3
a 7 0 1
a 7 6 1
a 8 2 2
a 8 3 1
a 8 6 10
a 9 2 1
a 9 0 11
a 10 2 4
a 11 2 5
a 12 13 3
a 12 19 4
a 13 12 3
a 13 20 2
a 14 20 1
a 15 20 2
a 16 17 1
a 16 3 20
a 17 16 1
a 18 6 3
a 18 19 5
a 19 0 3
a 19 18 5
a 19 12 4
a 20 16 3
a 20 4 1
a 20 13 2
a 20 14 1
a 20 15 2
a 20 0 1
